track,start,stop,id
southcarolina,0,20,charleston-southcarolina
southcarolina,21,43,arlington-virginia
southcarolina,44,64,barnwell-southcarolina
southcarolina,65,87,snelling-southcarolina
southcarolina,88,100,savannah-river-site-southcarolina
whitey,25,55,huntsville-alabama
whitey,56,70,houston-texas
whitey,71,110,cape-canaveral-florida
revolution,0,60,harlem-newyork
revolution,66,80,hanahan-southcarolina
revolution,103,114,watts-california
revolution,116,124,lincoln-ridge-kentucky
revolution,125,132,st-louis-missouri
revolution,133,140,beverly-hills-california
revolution,150,155,arlington-cemetery
revolution,156,159,billstown-arkansas
revolution,160,164,nashville-tennessee
revolution,165,170,jackson-tennessee
